,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
12070,2004-05-09,2004-05-15,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.148,0.08,1.93,2.34,0.344,0.037,1.804,0.034,1.715,1.937,0.019
12097,2004-05-16,2004-05-22,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.147,0.08,1.93,2.34,0.338,0.037,1.809,0.035,1.7281,1.937,0.019
12124,2004-05-23,2004-05-29,NORDESTE,CEARA,GASOLINA COMUM,329,R$/l,2.147,0.079,1.93,2.34,0.34,0.037,1.807,0.035,1.695,1.937,0.019
12151,2004-05-30,2004-06-05,NORDESTE,CEARA,GASOLINA COMUM,317,R$/l,2.148,0.08,1.93,2.34,0.338,0.037,1.81,0.034,1.695,1.937,0.019
12178,2004-06-06,2004-06-12,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.147,0.078,1.93,2.34,0.33,0.036,1.817,0.035,1.7194,1.937,0.019
12205,2004-06-13,2004-06-19,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.194,0.088,1.93,2.45,0.37,0.04,1.824,0.04,1.7294,1.9673,0.022
12232,2004-06-20,2004-06-26,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.281,0.084,1.99,2.44,0.397,0.037,1.884,0.061,1.73,2.0181,0.032
12259,2004-06-27,2004-07-03,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.28,0.0819999999999999,2.059,2.432,0.377,0.036,1.903,0.054,1.73,2.0181,0.028
12286,2004-07-04,2004-07-10,NORDESTE,CEARA,GASOLINA COMUM,330,R$/l,2.276,0.0969999999999999,1.96,2.432,0.363,0.043,1.913,0.044,1.7382,2.018,0.023
12313,2004-07-11,2004-07-17,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.264,0.136,1.899,2.432,0.345,0.06,1.919,0.035,1.7679,1.9993,0.018
12340,2004-07-18,2004-07-24,NORDESTE,CEARA,GASOLINA COMUM,329,R$/l,2.251,0.159,1.93,2.432,0.33,0.071,1.921,0.039,1.8029,2.0136,0.02
12367,2004-07-25,2004-07-31,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.244,0.188,1.81,2.432,0.325,0.084,1.919,0.061,1.75,2.0766,0.032
12394,2004-08-01,2004-08-07,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.287,0.083,1.92,2.432,0.363,0.036,1.924,0.059,1.7601,2.0153,0.031
12421,2004-08-08,2004-08-14,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.29,0.061,2.1,2.462,0.346,0.027,1.944,0.038,1.7873,2.0153,0.02
12448,2004-08-15,2004-08-21,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.2840000000000003,0.065,2.1,2.472,0.334,0.0279999999999999,1.95,0.031,1.8437,2.028,0.016
12475,2004-08-22,2004-08-28,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.279,0.081,2.089,2.47,0.323,0.036,1.956,0.035,1.86,2.0838,0.018
12502,2004-08-29,2004-09-04,NORDESTE,CEARA,GASOLINA COMUM,328,R$/l,2.273,0.09,2.039,2.47,0.316,0.04,1.957,0.033,1.859,2.0838,0.017
12529,2004-09-05,2004-09-11,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.271,0.1,1.99,2.472,0.318,0.044,1.953,0.034,1.8599,2.0838,0.017
12556,2004-09-12,2004-09-18,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.263,0.102,1.99,2.472,0.313,0.045,1.95,0.029,1.8599,2.0838,0.015
12583,2004-09-19,2004-09-25,NORDESTE,CEARA,GASOLINA COMUM,320,R$/l,2.26,0.1159999999999999,1.99,2.462,0.311,0.051,1.949,0.03,1.849,2.0295,0.015
12610,2004-09-26,2004-10-02,NORDESTE,CEARA,GASOLINA COMUM,325,R$/l,2.255,0.126,1.93,2.462,0.311,0.0559999999999999,1.944,0.032,1.849,2.0249,0.016
12637,2004-10-03,2004-10-09,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.286,0.055,1.99,2.462,0.337,0.024,1.949,0.036,1.82,2.0295,0.018
12664,2004-10-10,2004-10-16,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.285,0.057,1.99,2.462,0.332,0.025,1.953,0.033,1.8356,2.0255,0.017
12691,2004-10-17,2004-10-23,NORDESTE,CEARA,GASOLINA COMUM,320,R$/l,2.333,0.064,2.15,2.55,0.366,0.027,1.967,0.038,1.849,2.0499,0.019
12718,2004-10-24,2004-10-30,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.35,0.054,2.15,2.57,0.363,0.023,1.987,0.036,1.856,2.0704,0.018
12745,2004-10-31,2004-11-06,NORDESTE,CEARA,GASOLINA COMUM,312,R$/l,2.3280000000000003,0.053,2.15,2.54,0.336,0.023,1.992,0.031,1.893,2.0704,0.016
12772,2004-11-07,2004-11-13,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.326,0.057,2.1,2.58,0.32,0.025,2.006,0.037,1.893,2.0992,0.018
12799,2004-11-14,2004-11-20,NORDESTE,CEARA,GASOLINA COMUM,317,R$/l,2.327,0.053,2.2,2.58,0.314,0.023,2.013,0.036,1.893,2.0901,0.018
12826,2004-11-21,2004-11-27,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.33,0.06,2.149,2.58,0.306,0.026,2.024,0.034,1.8933,2.0992,0.017
12853,2004-11-28,2004-12-04,NORDESTE,CEARA,GASOLINA COMUM,320,R$/l,2.387,0.08,2.23,2.67,0.325,0.034,2.062,0.054,1.9068,2.1742,0.026
12880,2004-12-05,2004-12-11,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.446,0.067,2.199,2.67,0.36,0.027,2.086,0.051,1.9068,2.1838,0.024
12907,2004-12-12,2004-12-18,NORDESTE,CEARA,GASOLINA COMUM,320,R$/l,2.444,0.062,2.17,2.67,0.35,0.025,2.094,0.044,1.945,2.1746,0.021
12934,2004-12-19,2004-12-25,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.427,0.064,2.29,2.67,0.33,0.026,2.097,0.038,1.9557,2.19029,0.018
12961,2004-12-26,2005-01-01,NORDESTE,CEARA,GASOLINA COMUM,320,R$/l,2.385,0.073,2.29,2.672,0.289,0.031,2.096,0.038,1.978,2.19029,0.018
12988,2005-01-02,2005-01-08,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.382,0.073,2.29,2.65,0.284,0.031,2.098,0.035,2.0105,2.1936,0.017
13015,2005-01-09,2005-01-15,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.378,0.074,2.25,2.65,0.281,0.031,2.097,0.035,1.9841,2.1903,0.017
13042,2005-01-16,2005-01-22,NORDESTE,CEARA,GASOLINA COMUM,322,R$/l,2.37,0.087,2.17,2.65,0.277,0.037,2.093,0.036,2.0062,2.1903,0.017
13069,2005-01-23,2005-01-29,NORDESTE,CEARA,GASOLINA COMUM,321,R$/l,2.322,0.108,2.09,2.65,0.234,0.047,2.088,0.037,1.9842,2.1904,0.018
13096,2005-01-30,2005-02-05,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.277,0.136,2.09,2.65,0.202,0.06,2.075,0.039,1.937,2.213,0.019
13123,2005-02-06,2005-02-12,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.262,0.14,2.1,2.65,0.195,0.062,2.067,0.042,2.0033,2.213,0.02
13150,2005-02-13,2005-02-19,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.252,0.147,2.099,2.65,0.189,0.065,2.063,0.038,2.005,2.1947,0.018
13177,2005-02-20,2005-02-26,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.234,0.156,2.09,2.65,0.176,0.07,2.058,0.041,1.9846,2.206,0.02
13204,2005-02-27,2005-03-05,NORDESTE,CEARA,GASOLINA COMUM,328,R$/l,2.428,0.074,2.11,2.65,0.373,0.03,2.055,0.04,1.9958,2.1906,0.019
13231,2005-03-06,2005-03-12,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.434,0.06,2.18,2.65,0.368,0.025,2.066,0.04,1.9999,2.1937,0.019
13258,2005-03-13,2005-03-19,NORDESTE,CEARA,GASOLINA COMUM,330,R$/l,2.431,0.061,2.149,2.65,0.35,0.025,2.081,0.038,1.9989,2.1906,0.018
13285,2005-03-20,2005-03-26,NORDESTE,CEARA,GASOLINA COMUM,328,R$/l,2.431,0.059,2.12,2.65,0.349,0.024,2.082,0.036,2.005,2.1906,0.017
13312,2005-03-27,2005-04-02,NORDESTE,CEARA,GASOLINA COMUM,329,R$/l,2.4290000000000003,0.057,2.27,2.65,0.346,0.023,2.083,0.037,2,2.1906,0.018
13339,2005-04-03,2005-04-09,NORDESTE,CEARA,GASOLINA COMUM,329,R$/l,2.431,0.0559999999999999,2.3,2.65,0.35,0.023,2.081,0.037,2,2.1906,0.018
13366,2005-04-10,2005-04-16,NORDESTE,CEARA,GASOLINA COMUM,329,R$/l,2.43,0.057,2.3,2.65,0.345,0.023,2.085,0.037,1.9965,2.1922,0.018
13393,2005-04-17,2005-04-23,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.43,0.057,2.3,2.65,0.344,0.023,2.086,0.036,1.9985,2.1906,0.017
13420,2005-04-24,2005-04-30,NORDESTE,CEARA,GASOLINA COMUM,327,R$/l,2.435,0.053,2.3,2.65,0.345,0.022,2.09,0.036,1.9945,2.1906,0.017
13447,2005-05-01,2005-05-07,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.436,0.053,2.3,2.65,0.351,0.022,2.085,0.035,1.993,2.1906,0.017
13474,2005-05-08,2005-05-14,NORDESTE,CEARA,GASOLINA COMUM,325,R$/l,2.435,0.053,2.3,2.65,0.349,0.022,2.086,0.037,1.993,2.19099,0.018
13501,2005-05-15,2005-05-21,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.428,0.054,2.3,2.65,0.346,0.022,2.082,0.035,1.993,2.1932,0.017
13528,2005-05-22,2005-05-28,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.414,0.059,2.3,2.65,0.332,0.024,2.082,0.035,1.9953,2.1854,0.017
13555,2005-05-29,2005-06-04,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.385,0.076,2.19,2.65,0.308,0.032,2.077,0.038,1.98,2.1834,0.018
13582,2005-06-05,2005-06-11,NORDESTE,CEARA,GASOLINA COMUM,325,R$/l,2.356,0.091,2.16,2.65,0.291,0.039,2.065,0.042,1.98,2.1834,0.02
13609,2005-06-12,2005-06-18,NORDESTE,CEARA,GASOLINA COMUM,323,R$/l,2.28,0.136,1.999,2.65,0.232,0.06,2.048,0.042,1.9795,2.181,0.021
13636,2005-06-19,2005-06-25,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.254,0.15,2.069,2.65,0.213,0.067,2.041,0.044,1.9711,2.17775,0.022
13663,2005-06-26,2005-07-02,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.228,0.163,2.04,2.65,0.192,0.073,2.036,0.044,1.96,2.17775,0.022
13690,2005-07-03,2005-07-09,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.305,0.154,2.05,2.65,0.266,0.067,2.039,0.046,1.95,2.17775,0.023
13717,2005-07-10,2005-07-16,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.438,0.055,2.2,2.65,0.39,0.023,2.048,0.045,1.95,2.17775,0.022
13744,2005-07-17,2005-07-23,NORDESTE,CEARA,GASOLINA COMUM,324,R$/l,2.4330000000000003,0.0579999999999999,2.19,2.65,0.368,0.024,2.065,0.04,1.979,2.17775,0.019
13771,2005-07-24,2005-07-30,NORDESTE,CEARA,GASOLINA COMUM,325,R$/l,2.428,0.06,2.19,2.65,0.359,0.025,2.069,0.039,1.9755,2.17775,0.019
13798,2005-07-31,2005-08-06,NORDESTE,CEARA,GASOLINA COMUM,325,R$/l,2.428,0.059,2.2,2.65,0.357,0.024,2.071,0.039,1.974,2.17775,0.019
13825,2005-08-07,2005-08-13,NORDESTE,CEARA,GASOLINA COMUM,326,R$/l,2.426,0.059,2.2,2.65,0.351,0.024,2.075,0.038,1.9755,2.1779,0.018
13852,2005-08-28,2005-09-03,NORDESTE,CEARA,GASOLINA COMUM,236,R$/l,2.42,0.07,2.17,2.65,0.349,0.0289999999999999,2.071,0.047,1.8617,2.324,0.023
13879,2005-09-04,2005-09-10,NORDESTE,CEARA,GASOLINA COMUM,254,R$/l,2.422,0.065,2.2,2.65,0.353,0.027,2.069,0.048,1.9199,2.264,0.023
13906,2005-09-11,2005-09-17,NORDESTE,CEARA,GASOLINA COMUM,277,R$/l,2.5580000000000003,0.12,2.2,2.89,0.421,0.047,2.137,0.084,1.9725,2.29,0.039
13933,2005-09-18,2005-09-24,NORDESTE,CEARA,GASOLINA COMUM,263,R$/l,2.624,0.073,2.4,2.89,0.39,0.0279999999999999,2.234,0.096,2.0068,2.5469,0.043
13960,2005-09-25,2005-10-01,NORDESTE,CEARA,GASOLINA COMUM,315,R$/l,2.62,0.068,2.4,2.89,0.395,0.026,2.225,0.067,2.0112,2.394,0.03
